lineId,season,name,team,iceTimeRank,dZoneGiveawaysAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,blockedShotAttemptsFor,hitsFor,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,goalsFor,goalsAgainst,corsiPercentage,xGoalsFor,shotsOnGoalFor,flurryScoreVenueAdjustedxGoalsFor,fenwickPercentage,playContinuedOutsideZoneFor,netGoals
84596708474568,2013,Timonen-Schenn,PHI,399.0,10.0,2.0,3.0,16.0,29.0,2.0,10.0,10.0,0.0,0.0,0.59,1.74,26.0,1.71,0.56,17.0,0.0
84695558473571,2013,Ehrhoff-Mcbain,BUF,310.0,16.0,23.0,7.0,50.0,53.0,3.0,35.0,57.0,5.0,5.0,0.49,7.17,96.0,6.93,0.47,47.0,0.0
84650098476191,2013,Chara-Miller,BOS,275.0,10.0,11.0,0.0,16.0,47.0,1.0,24.0,25.0,4.0,1.0,0.47,2.82,46.0,2.86,0.5,16.0,3.0
84701878476792,2013,Krug-Boychuk,BOS,346.0,12.0,27.0,5.0,57.0,97.0,4.0,34.0,52.0,11.0,7.0,0.59,9.78,126.0,9.53,0.58,55.0,4.0
84696238472382,2013,Greene-Zidlicky,N.J,455.0,19.0,20.0,8.0,55.0,72.0,7.0,33.0,52.0,6.0,10.0,0.57,9.73,116.0,9.58,0.56,58.0,-4.0
84706028474125,2013,Phaneuf-Gunnarsson,TOR,161.0,100.0,136.0,25.0,174.0,516.0,25.0,283.0,237.0,40.0,33.0,0.4,31.1,392.0,30.44,0.42,170.0,7.0
84717098474027,2013,Vlasic-Braun,S.J,271.0,37.0,28.0,14.0,125.0,143.0,8.0,87.0,99.0,20.0,15.0,0.57,21.85,251.0,21.33,0.57,133.0,5.0
84651858474166,2013,Martinez-Mitchell,L.A,153.0,57.0,46.0,9.0,120.0,292.0,11.0,71.0,104.0,20.0,10.0,0.55,19.92,215.0,19.86,0.55,117.0,10.0
84717098474218,2013,Vlasic-Demers,S.J,264.0,35.0,37.0,6.0,98.0,163.0,6.0,54.0,73.0,17.0,14.0,0.58,18.13,195.0,17.58,0.61,109.0,3.0
84651858474594,2013,Mitchell-Voynov,L.A,306.0,42.0,39.0,17.0,105.0,231.0,6.0,97.0,92.0,11.0,11.0,0.56,18.97,230.0,18.43,0.56,117.0,0.0
84706008476463,2013,Suter-Brodin,MIN,181.0,66.0,77.0,26.0,176.0,267.0,17.0,166.0,235.0,21.0,26.0,0.47,26.39,362.0,25.76,0.46,205.0,-5.0
84651858474563,2013,Mitchell-Doughty,L.A,358.0,23.0,27.0,5.0,51.0,100.0,2.0,42.0,36.0,12.0,8.0,0.59,11.37,113.0,11.08,0.59,64.0,4.0
84700858474581,2013,Gardiner-Ranger,TOR,273.0,28.0,37.0,13.0,55.0,164.0,12.0,67.0,83.0,10.0,5.0,0.44,8.37,117.0,8.26,0.42,57.0,5.0
84718168472382,2013,Greene-Fayne,N.J,147.0,68.0,69.0,11.0,187.0,288.0,14.0,118.0,186.0,32.0,34.0,0.58,34.71,412.0,34.0,0.58,209.0,-2.0
84652028470640,2013,Carle-Salo,T.B,582.0,4.0,12.0,0.0,17.0,35.0,5.0,18.0,33.0,5.0,2.0,0.46,4.12,54.0,3.91,0.49,26.0,3.0
84685098477215,2013,Kronwall-Dekeyser,DET,350.0,10.0,22.0,1.0,30.0,39.0,2.0,23.0,46.0,10.0,1.0,0.5,5.26,74.0,5.31,0.52,37.0,9.0
84702818470607,2013,Keith-Seabrook,CHI,130.0,107.0,142.0,32.0,352.0,409.0,21.0,192.0,299.0,64.0,46.0,0.58,57.58,733.0,56.89,0.57,350.0,18.0
84709668471761,2013,Butler-Giordano,CGY,355.0,8.0,17.0,0.0,21.0,36.0,1.0,24.0,30.0,1.0,2.0,0.46,4.02,51.0,3.95,0.49,29.0,-1.0
84696658471769,2013,Oduya-Hjalmarsson,CHI,133.0,96.0,100.0,24.0,248.0,279.0,9.0,178.0,222.0,42.0,35.0,0.54,38.47,526.0,38.0,0.56,279.0,7.0
84662858475179,2013,Kulikov-Campbell,FLA,449.0,16.0,30.0,8.0,46.0,108.0,3.0,29.0,62.0,9.0,13.0,0.56,9.74,136.0,8.95,0.56,78.0,-4.0
84700858476853,2013,Rielly-Ranger,TOR,249.0,17.0,30.0,4.0,30.0,111.0,4.0,45.0,51.0,12.0,10.0,0.46,8.79,93.0,8.61,0.48,53.0,2.0
84702228476850,2013,Murray-Wisniewski,CBJ,128.0,45.0,69.0,16.0,187.0,386.0,7.0,154.0,169.0,32.0,25.0,0.54,25.34,382.0,25.23,0.54,196.0,7.0
84708288470834,2013,Enstrom-Byfuglien,WPG,320.0,30.0,39.0,11.0,64.0,128.0,6.0,60.0,66.0,10.0,12.0,0.54,11.8,178.0,11.13,0.55,83.0,-2.0
84713928474031,2013,Shattenkirk-Polak,STL,322.0,2.0,5.0,0.0,4.0,17.0,0.0,9.0,7.0,1.0,3.0,0.36,0.79,8.0,0.82,0.38,9.0,-2.0
84751678475462,2013,Hedman-Gudas,T.B,416.0,5.0,17.0,4.0,30.0,50.0,3.0,26.0,38.0,6.0,9.0,0.5,4.35,62.0,4.38,0.49,28.0,-3.0
84706008474716,2013,Suter-Spurgeon,MIN,190.0,34.0,56.0,15.0,109.0,192.0,9.0,96.0,146.0,30.0,18.0,0.52,23.13,301.0,22.29,0.54,153.0,12.0
